"@timestamp","event.original","agent.hostname","log.file.path"
"Oct 26, 2022 @ 02:41:11.155","Oct 25 18:41:01 Web_Server CRON[18020]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:41:11.155","Oct 25 18:41:01 Web_Server CRON[18020]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:40:06.141","Oct 25 18:40:06 Web_Server CRON[17912]: pam_unix(cron:session): session closed for user root","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:40:05.141","Oct 25 18:40:01 Web_Server CRON[18011]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:40:05.141","Oct 25 18:40:01 Web_Server CRON[18011]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:39:10.132","Oct 25 18:39:01 Web_Server CRON[17913]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:39:10.132","Oct 25 18:39:01 Web_Server CRON[17912]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:39:10.132","Oct 25 18:39:01 Web_Server CRON[17913]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:39:10.132","Oct 25 18:39:01 Web_Server CRON[17912]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:38:05.123","Oct 25 18:38:01 Web_Server CRON[17245]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:38:05.123","Oct 25 18:38:01 Web_Server CRON[17245]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:37:10.046","Oct 25 18:37:01 Web_Server CRON[16567]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:37:10.046","Oct 25 18:37:01 Web_Server CRON[16567]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:36:05.028","Oct 25 18:36:01 Web_Server CRON[15987]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:36:05.028","Oct 25 18:36:01 Web_Server CRON[15987]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:35:29.811","Oct 25 18:35:26 Web_Server sudo: www-data : user NOT in sudoers ; TTY=unknown ; PWD=/var/www/html/uploadImage/Logo ; USER=root ; COMMAND=/bin/su","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:35:29.811","Oct 25 18:35:26 Web_Server sudo: pam_unix(sudo:auth): auth could not identify password for [www-data]","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:35:04.806","Oct 25 18:35:01 Web_Server CRON[15302]: pam_unix(cron:session): session opened for user root by (uid=0)","Web_Server","/var/log/auth.log"
"Oct 26, 2022 @ 02:35:04.806","Oct 25 18:35:01 Web_Server CRON[15302]: pam_env(cron:session): Unable to open env file: /etc/default/locale: No such file or directory","Web_Server","/var/log/auth.log"
